order_id,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,zip_code,city,state,country,sales_id,product_id,price_per_unit,quantity_x,total_price,product_ID,product_type,product_name,size,colour,price,quantity_y,description,differnce,year_order,month_order,day_order,name_day_order,year_delivery,month_delivery,day_delivery,name_day_delivery
2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,11,1174,99,2,198,1174,Trousers,High-Waisted,XL,green,98,78,"A green coloured, XL sized, High-Waisted Trousers",10,2021,2,3,Wednesday,2021,2,13,Saturday
3,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,12,54,104,1,104,54,Shirt,Dress,XL,green,119,52,"A green coloured, XL sized, Dress Shirt",26,2021,10,8,Friday,2021,11,3,Wednesday
3,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,13,6,96,2,192,6,Shirt,Oxford Cloth,S,orange,114,72,"A orange coloured, S sized, Oxford Cloth Shirt",26,2021,10,8,Friday,2021,11,3,Wednesday
3,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,14,1010,106,2,212,1010,Trousers,Wool,XS,violet,111,80,"A violet coloured, XS sized, Wool Trousers",26,2021,10,8,Friday,2021,11,3,Wednesday
4,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,15,1033,90,1,90,1033,Trousers,Relaxed Leg,L,green,95,62,"A green coloured, L sized, Relaxed Leg Trousers",13,2021,5,6,Thursday,2021,5,19,Wednesday
4,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,16,1184,99,3,297,1184,Trousers,High-Waisted,XL,indigo,98,57,"A indigo coloured, XL sized, High-Waisted Trousers",13,2021,5,6,Thursday,2021,5,19,Wednesday
4,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,17,769,109,1,109,769,Jacket,Peacoat,XL,violet,102,42,"A violet coloured, XL sized, Peacoat Jacket",13,2021,5,6,Thursday,2021,5,19,Wednesday
4,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,18,923,96,3,288,923,Trousers,Drawstring,L,yellow,104,68,"A yellow coloured, L sized, Drawstring Trousers",13,2021,5,6,Thursday,2021,5,19,Wednesday
4,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,19,12,96,2,192,12,Shirt,Oxford Cloth,M,yellow,114,56,"A yellow coloured, M sized, Oxford Cloth Shirt",13,2021,5,6,Thursday,2021,5,19,Wednesday
5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,20,148,91,2,182,148,Shirt,Linen,L,orange,116,73,"A orange coloured, L sized, Linen Shirt",1,2021,3,23,Tuesday,2021,3,24,Wednesday
5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,21,475,118,2,236,475,Jacket,Puffer,XS,blue,110,57,"A blue coloured, XS sized, Puffer Jacket",1,2021,3,23,Tuesday,2021,3,24,Wednesday
5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,22,1,96,3,288,1,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",1,2021,3,23,Tuesday,2021,3,24,Wednesday
5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,23,830,117,3,351,830,Jacket,Shearling,XS,indigo,95,68,"A indigo coloured, XS sized, Shearling Jacket",1,2021,3,23,Tuesday,2021,3,24,Wednesday
5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,24,1209,105,3,315,1209,Trousers,Pleated,XL,green,90,55,"A green coloured, XL sized, Pleated Trousers",1,2021,3,23,Tuesday,2021,3,24,Wednesday
5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,25,635,93,3,279,635,Jacket,Coach,XS,orange,115,42,"A orange coloured, XS sized, Coach Jacket",1,2021,3,23,Tuesday,2021,3,24,Wednesday
5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,26,639,93,3,279,639,Jacket,Coach,XL,orange,115,46,"A orange coloured, XL sized, Coach Jacket",1,2021,3,23,Tuesday,2021,3,24,Wednesday
5,441,14719,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia,27,695,113,1,113,695,Jacket,Parka,XS,violet,119,59,"A violet coloured, XS sized, Parka Jacket",1,2021,3,23,Tuesday,2021,3,24,Wednesday
6,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,28,38,104,2,208,38,Shirt,Dress,L,red,119,79,"A red coloured, L sized, Dress Shirt",26,2021,9,9,Thursday,2021,10,5,Tuesday
6,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,29,473,118,2,236,473,Jacket,Puffer,L,green,110,43,"A green coloured, L sized, Puffer Jacket",26,2021,9,9,Thursday,2021,10,5,Tuesday
6,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,30,242,106,1,106,242,Shirt,Chambray,M,violet,105,72,"A violet coloured, M sized, Chambray Shirt",26,2021,9,9,Thursday,2021,10,5,Tuesday
6,800,16197,2021-09-09,2021-10-05,Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia,31,804,91,2,182,804,Jacket,Pullover,XL,violet,114,69,"A violet coloured, XL sized, Pullover Jacket",26,2021,9,9,Thursday,2021,10,5,Tuesday
7,626,37666,2021-04-05,2021-04-11,Tann Scothron,Genderqueer,64,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia,32,850,113,2,226,850,Trousers,Chinos,XS,yellow,100,41,"A yellow coloured, XS sized, Chinos Trousers",6,2021,4,5,Monday,2021,4,11,Sunday
7,626,37666,2021-04-05,2021-04-11,Tann Scothron,Genderqueer,64,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia,33,1162,99,3,297,1162,Trousers,High-Waisted,M,orange,98,69,"A orange coloured, M sized, High-Waisted Trousers",6,2021,4,5,Monday,2021,4,11,Sunday
8,58,28484,2021-04-12,2021-05-01,Aurie Margett,Agender,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,34,765,109,1,109,765,Jacket,Peacoat,XS,violet,102,54,"A violet coloured, XS sized, Peacoat Jacket",19,2021,4,12,Monday,2021,5,1,Saturday
8,58,28484,2021-04-12,2021-05-01,Aurie Margett,Agender,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,35,256,95,2,190,256,Shirt,Polo,S,yellow,117,77,"A yellow coloured, S sized, Polo Shirt",19,2021,4,12,Monday,2021,5,1,Saturday
9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,36,203,98,1,98,203,Shirt,Camp Collared,L,indigo,112,72,"A indigo coloured, L sized, Camp Collared Shirt",10,2021,5,1,Saturday,2021,5,11,Tuesday
9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,37,486,118,2,236,486,Jacket,Puffer,S,violet,110,46,"A violet coloured, S sized, Puffer Jacket",10,2021,5,1,Saturday,2021,5,11,Tuesday
9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,38,708,119,1,119,708,Jacket,Trench Coat,L,orange,112,70,"A orange coloured, L sized, Trench Coat Jacket",10,2021,5,1,Saturday,2021,5,11,Tuesday
9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,39,1040,90,2,180,1040,Trousers,Relaxed Leg,XS,indigo,95,60,"A indigo coloured, XS sized, Relaxed Leg Trousers",10,2021,5,1,Saturday,2021,5,11,Tuesday
9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,40,917,96,3,288,917,Trousers,Drawstring,M,orange,104,76,"A orange coloured, M sized, Drawstring Trousers",10,2021,5,1,Saturday,2021,5,11,Tuesday
9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,41,1061,93,2,186,1061,Trousers,Joggers,S,yellow,94,76,"A yellow coloured, S sized, Joggers Trousers",10,2021,5,1,Saturday,2021,5,11,Tuesday
9,852,12896,2021-05-01,2021-05-11,Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia,42,35,104,2,208,35,Shirt,Dress,XS,red,119,63,"A red coloured, XS sized, Dress Shirt",10,2021,5,1,Saturday,2021,5,11,Tuesday
10,659,21922,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,43,325,109,3,327,325,Shirt,Mandarin Collar,XS,yellow,108,45,"A yellow coloured, XS sized, Mandarin Collar Shirt",1,2021,10,15,Friday,2021,10,16,Saturday
10,659,21922,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,44,860,113,2,226,860,Trousers,Chinos,XS,blue,100,69,"A blue coloured, XS sized, Chinos Trousers",1,2021,10,15,Friday,2021,10,16,Saturday
10,659,21922,2021-10-15,2021-10-16,Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia,45,426,107,3,321,426,Jacket,Denim,S,orange,92,51,"A orange coloured, S sized, Denim Jacket",1,2021,10,15,Friday,2021,10,16,Saturday
11,785,36624,2021-06-15,2021-06-30,Jillana Blankau,Genderfluid,54,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia,46,877,94,2,188,877,Trousers,Cords,M,red,113,68,"A red coloured, M sized, Cords Trousers",15,2021,6,15,Tuesday,2021,6,30,Wednesday
11,785,36624,2021-06-15,2021-06-30,Jillana Blankau,Genderfluid,54,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia,47,780,91,3,273,780,Jacket,Pullover,XS,yellow,114,65,"A yellow coloured, XS sized, Pullover Jacket",15,2021,6,15,Tuesday,2021,6,30,Wednesday
12,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,48,782,91,1,91,782,Jacket,Pullover,M,yellow,114,49,"A yellow coloured, M sized, Pullover Jacket",11,2021,6,30,Wednesday,2021,7,11,Sunday
12,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,49,632,93,2,186,632,Jacket,Coach,M,red,115,76,"A red coloured, M sized, Coach Jacket",11,2021,6,30,Wednesday,2021,7,11,Sunday
12,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,50,846,113,3,339,846,Trousers,Chinos,S,orange,100,58,"A orange coloured, S sized, Chinos Trousers",11,2021,6,30,Wednesday,2021,7,11,Sunday
12,120,55507,2021-06-30,2021-07-11,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,51,180,98,1,98,180,Shirt,Camp Collared,XS,orange,112,52,"A orange coloured, XS sized, Camp Collared Shirt",11,2021,6,30,Wednesday,2021,7,11,Sunday
13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,52,217,106,2,212,217,Shirt,Chambray,M,orange,105,43,"A orange coloured, M sized, Chambray Shirt",16,2021,10,15,Friday,2021,10,31,Sunday
13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,53,95,118,3,354,95,Shirt,Flannel,XS,indigo,96,46,"A indigo coloured, XS sized, Flannel Shirt",16,2021,10,15,Friday,2021,10,31,Sunday
13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,54,800,91,2,182,800,Jacket,Pullover,XS,violet,114,61,"A violet coloured, XS sized, Pullover Jacket",16,2021,10,15,Friday,2021,10,31,Sunday
13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,55,835,117,1,117,835,Jacket,Shearling,XS,violet,95,75,"A violet coloured, XS sized, Shearling Jacket",16,2021,10,15,Friday,2021,10,31,Sunday
13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,56,1249,112,2,224,1249,Trousers,Tracksuit Bottoms,XL,blue,91,68,"A blue coloured, XL sized, Tracksuit Bottoms Trousers",16,2021,10,15,Friday,2021,10,31,Sunday
13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,57,753,109,2,218,753,Jacket,Peacoat,L,green,102,73,"A green coloured, L sized, Peacoat Jacket",16,2021,10,15,Friday,2021,10,31,Sunday
13,204,57810,2021-10-15,2021-10-31,Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia,58,114,92,3,276,114,Shirt,Denim,XL,orange,115,67,"A orange coloured, XL sized, Denim Shirt",16,2021,10,15,Friday,2021,10,31,Sunday
14,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,59,1202,105,2,210,1202,Trousers,Pleated,M,yellow,90,54,"A yellow coloured, M sized, Pleated Trousers",14,2021,3,29,Monday,2021,4,12,Monday
14,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,60,227,106,3,318,227,Shirt,Chambray,M,green,105,56,"A green coloured, M sized, Chambray Shirt",14,2021,3,29,Monday,2021,4,12,Monday
14,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,61,108,92,2,184,108,Shirt,Denim,L,red,115,52,"A red coloured, L sized, Denim Shirt",14,2021,3,29,Monday,2021,4,12,Monday
14,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,62,91,118,3,354,91,Shirt,Flannel,S,blue,96,43,"A blue coloured, S sized, Flannel Shirt",14,2021,3,29,Monday,2021,4,12,Monday
14,957,21270,2021-03-29,2021-04-12,Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia,63,909,94,2,188,909,Trousers,Cords,XL,violet,113,73,"A violet coloured, XL sized, Cords Trousers",14,2021,3,29,Monday,2021,4,12,Monday
15,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,64,699,113,3,339,699,Jacket,Parka,XL,violet,119,80,"A violet coloured, XL sized, Parka Jacket",16,2021,9,22,Wednesday,2021,10,8,Friday
15,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,65,1195,105,3,315,1195,Trousers,Pleated,XS,orange,90,74,"A orange coloured, XS sized, Pleated Trousers",16,2021,9,22,Wednesday,2021,10,8,Friday
15,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,66,291,105,2,210,291,Shirt,Cuban Collar,S,yellow,93,41,"A yellow coloured, S sized, Cuban Collar Shirt",16,2021,9,22,Wednesday,2021,10,8,Friday
15,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,67,972,97,3,291,972,Trousers,Slim-Fit,M,indigo,119,67,"A indigo coloured, M sized, Slim-Fit Trousers",16,2021,9,22,Wednesday,2021,10,8,Friday
15,468,15488,2021-09-22,2021-10-08,Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia,68,1212,105,2,210,1212,Trousers,Pleated,M,blue,90,66,"A blue coloured, M sized, Pleated Trousers",16,2021,9,22,Wednesday,2021,10,8,Friday
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,69,7,96,3,288,7,Shirt,Oxford Cloth,M,orange,114,77,"A orange coloured, M sized, Oxford Cloth Shirt",1,2021,7,7,Wednesday,2021,7,8,Thursday
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,70,381,94,3,282,381,Shirt,Henley,S,violet,92,43,"A violet coloured, S sized, Henley Shirt",1,2021,7,7,Wednesday,2021,7,8,Thursday
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,71,17,96,2,192,17,Shirt,Oxford Cloth,M,green,114,60,"A green coloured, M sized, Oxford Cloth Shirt",1,2021,7,7,Wednesday,2021,7,8,Thursday
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,72,297,105,2,210,297,Shirt,Cuban Collar,M,green,93,45,"A green coloured, M sized, Cuban Collar Shirt",1,2021,7,7,Wednesday,2021,7,8,Thursday
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,73,28,96,1,96,28,Shirt,Oxford Cloth,L,indigo,114,70,"A indigo coloured, L sized, Oxford Cloth Shirt",1,2021,7,7,Wednesday,2021,7,8,Thursday
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,74,934,96,1,96,934,Trousers,Drawstring,XL,blue,104,60,"A blue coloured, XL sized, Drawstring Trousers",1,2021,7,7,Wednesday,2021,7,8,Thursday
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,75,324,109,3,327,324,Shirt,Mandarin Collar,XL,orange,108,59,"A orange coloured, XL sized, Mandarin Collar Shirt",1,2021,7,7,Wednesday,2021,7,8,Thursday
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,76,578,100,2,200,578,Jacket,Bomber,L,green,90,78,"A green coloured, L sized, Bomber Jacket",1,2021,7,7,Wednesday,2021,7,8,Thursday
16,564,36479,2021-07-07,2021-07-08,Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia,77,273,95,1,95,273,Shirt,Polo,L,indigo,117,60,"A indigo coloured, L sized, Polo Shirt",1,2021,7,7,Wednesday,2021,7,8,Thursday
17,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,78,132,92,2,184,132,Shirt,Denim,M,indigo,115,56,"A indigo coloured, M sized, Denim Shirt",2,2021,2,9,Tuesday,2021,2,11,Thursday
17,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,79,791,91,2,182,791,Jacket,Pullover,S,blue,114,73,"A blue coloured, S sized, Pullover Jacket",2,2021,2,9,Tuesday,2021,2,11,Thursday
17,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,80,463,118,1,118,463,Jacket,Puffer,L,orange,110,66,"A orange coloured, L sized, Puffer Jacket",2,2021,2,9,Tuesday,2021,2,11,Thursday
17,614,51822,2021-02-09,2021-02-11,Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia,81,1066,93,2,186,1066,Trousers,Joggers,S,green,94,76,"A green coloured, S sized, Joggers Trousers",2,2021,2,9,Tuesday,2021,2,11,Thursday
18,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,82,35,104,1,104,35,Shirt,Dress,XS,red,119,63,"A red coloured, XS sized, Dress Shirt",2,2021,1,1,Friday,2021,1,3,Sunday
18,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,83,970,97,3,291,970,Trousers,Slim-Fit,XS,indigo,119,74,"A indigo coloured, XS sized, Slim-Fit Trousers",2,2021,1,1,Friday,2021,1,3,Sunday
18,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,84,285,105,1,105,285,Shirt,Cuban Collar,XS,orange,93,62,"A orange coloured, XS sized, Cuban Collar Shirt",2,2021,1,1,Friday,2021,1,3,Sunday
18,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,85,1110,115,3,345,1110,Trousers,Cropped,XS,indigo,99,55,"A indigo coloured, XS sized, Cropped Trousers",2,2021,1,1,Friday,2021,1,3,Sunday
18,299,22902,2021-01-01,2021-01-03,Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia,86,452,107,1,107,452,Jacket,Denim,M,violet,92,43,"A violet coloured, M sized, Denim Jacket",2,2021,1,1,Friday,2021,1,3,Sunday
19,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,87,71,118,1,118,71,Shirt,Flannel,S,red,96,59,"A red coloured, S sized, Flannel Shirt",11,2021,8,30,Monday,2021,9,10,Friday
19,513,56754,2021-08-30,2021-09-10,Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia,88,347,109,2,218,347,Shirt,Mandarin Collar,M,violet,108,76,"A violet coloured, M sized, Mandarin Collar Shirt",11,2021,8,30,Monday,2021,9,10,Friday
